casesDif,vacDif,FIPS,location,POPESTIMATE2019,Median_Household_Income_2019
4443.0,0.30000000000000004,2020,Alaska-Anchorage,288790,"82,512"
354.0,0.22699999999999998,2050,Alaska-Bethel,18493,"48,262"
38.0,0.307,2068,Alaska-Denali,2125,"78,434"
31.0,0.18199999999999994,2070,Alaska-Dillingham,4932,"57,436"
3.0,0.20200000000000007,2100,Alaska-Haines,2561,"62,548"
247.0,0.42799999999999994,2110,Alaska-Juneau,32038,"85,419"
79.0,0.24699999999999994,2180,Alaska-Nome,10040,"58,464"
59.0,0.23999999999999994,2220,Alaska-Sitka,8501,"80,660"
0.0,0.20699999999999996,2282,Alaska-Yakutat,576,"61,587"
987.0,0.19799999999999998,1001,Alabama-Autauga,55769,"58,233"
2269.0,0.21700000000000003,1003,Alabama-Baldwin,223565,"59,871"
230.0,0.189,1005,Alabama-Barbour,24657,"35,972"
243.0,0.146,1007,Alabama-Bibb,22313,"47,918"
885.0,0.126,1009,Alabama-Blount,57840,"52,902"
80.0,0.246,1011,Alabama-Bullock,10144,"31,906"
294.0,0.19199999999999998,1013,Alabama-Butler,19501,"39,944"
1476.0,0.195,1015,Alabama-Calhoun,114070,"47,747"
323.0,0.151,1017,Alabama-Chambers,33244,"42,015"
104.0,0.141,1019,Alabama-Cherokee,26254,"45,982"
605.0,0.17900000000000002,1021,Alabama-Chilton,44313,"49,692"
73.0,0.288,1023,Alabama-Choctaw,12577,"39,808"
97.0,0.20900000000000002,1025,Alabama-Clarke,23651,"43,822"
159.0,0.199,1027,Alabama-Clay,13265,"40,562"
164.0,0.137,1029,Alabama-Cleburne,14952,"51,276"
424.0,0.185,1031,Alabama-Coffee,52639,"57,299"
427.0,0.22799999999999998,1033,Alabama-Colbert,55241,"46,683"
75.0,0.191,1035,Alabama-Conecuh,12055,"41,539"
234.0,0.177,1037,Alabama-Coosa,10677,"42,024"
336.0,0.15799999999999997,1039,Alabama-Covington,37082,"44,836"
